sample_ID,ASV Table,Site,Group-Analyses,WaterType,Region,Region2,Habitat,Location,Description,Partner,year_month_day,year,month,day,lat,long,Event_ID,Treatment,Field_Blank,Extraction_Blank,PCR_Blank,Date.of.extraction,PCR_Plate,MiSeq.Run
ICOE0305,ICOE0305,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2019_9_4,2019,9,4,51.65,-127.9518,CalvertKC10_2019_9_4,Sample,ICOE0306,ICOXN018,NEG_PLATE1,2019-11-26,1,12S_RunV3_ICO_plates_1_2_20210221
ICOE0879,ICOE0879,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_10_1,2020,10,1,51.65,-127.9518,CalvertKC10_2020_10_1,Sample,ICOE0878,ICOXN054,NEG_PLATE7,2021-04-01,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0880,ICOE0880,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_10_1,2020,10,1,51.65,-127.9518,CalvertKC10_2020_10_1,Sample,ICOE0878,ICOXN054,NEG_PLATE7,2021-04-01,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0881,ICOE0881,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_10_1,2020,10,1,51.65,-127.9518,CalvertKC10_2020_10_1,Sample,ICOE0878,ICOXN054,NEG_PLATE7,2021-04-01,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0951,ICOE0951,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_11_1,2020,11,1,51.65,-127.9518,CalvertKC10_2020_11_1,Sample,ICOE0950,ICOXN060,NEG_PLATE8,2021-04-22,8,12S_ICO_plates8_9_10_Run20210916
ICOE0952,ICOE0952,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_11_1,2020,11,1,51.65,-127.9518,CalvertKC10_2020_11_1,Sample,ICOE0950,ICOXN060,NEG_PLATE8,2021-04-22,8,12S_ICO_plates8_9_10_Run20210916
ICOE0953,ICOE0953,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_11_1,2020,11,1,51.65,-127.9518,CalvertKC10_2020_11_1,Sample,ICOE0950,ICOXN060,NEG_PLATE8,2021-04-22,8,12S_ICO_plates8_9_10_Run20210916
ICOE0458,ICOE0458,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_2_11,2020,2,11,51.65,-127.9518,CalvertKC10_2020_2_11,Sample,ICOE0459,ICONX034,NEG_PLATE4,2020-07-06,4,12S_Run_ICO_Plates3&4_20210331
ICOE0460,ICOE0460,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_2_11,2020,2,11,51.65,-127.9518,CalvertKC10_2020_2_11,Sample,ICOE0459,ICONX034,NEG_PLATE4,2020-07-06,4,12S_Run_ICO_Plates3&4_20210331
ICOE0461,ICOE0461,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_2_11,2020,2,11,51.65,-127.9518,CalvertKC10_2020_2_11,Sample,ICOE0459,ICONX034,NEG_PLATE4,2020-07-06,4,12S_Run_ICO_Plates3&4_20210331
ICOE0499,ICOE0499,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_5_4,2020,5,4,51.65,-127.9518,CalvertKC10_2020_5_4,Sample,ICOE0498,ICOXN042,NEG_PLATE5,2021-02-04,5,12S_ICO_plates5_6_7_ReRun20210612
ICOE0500,ICOE0500,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_5_4,2020,5,4,51.65,-127.9518,CalvertKC10_2020_5_4,Sample,ICOE0498,ICOXN042,NEG_PLATE5,2021-02-04,5,12S_ICO_plates5_6_7_ReRun20210612
