,Domain,Phylum,Class,Order,Family,Genus,Species 
ASV7489,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus asper
ASV7742,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus asper
ASV7796,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus asper
ASV7922,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus asper
ASV8051,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus asper
ASV8192,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus asper
ASV838,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,no identification
ASV12,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV390,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV437,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV594,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV778,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV790,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV815,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV855,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV903,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV950,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV965,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV974,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1122,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1165,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1173,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1433,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1584,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1600,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1624,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1751,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1935,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV1996,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2028,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2062,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2088,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2198,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2279,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2298,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2457,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2637,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2669,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2690,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV2917,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV3242,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV3537,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV3623,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV3834,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV3873,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV3967,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV4047,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV4231,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV4401,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV4587,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5013,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5208,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5270,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5379,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5431,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5684,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5688,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV5941,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV6192,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV6212,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV6270,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV6700,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV7121,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV7803,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV7861,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,Cottus cognatus
ASV857,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV2456,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV3639,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV4901,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV5320,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV7147,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV1257,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV6702,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV6917,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV127,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV2367,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV3017,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV4194,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV4813,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV5295,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV5868,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV1581,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV5814,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV6883,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV7527,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV6564,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,
ASV25,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV411,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV525,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV897,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV917,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1060,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1235,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1278,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1322,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1385,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1486,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1507,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1568,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1619,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1620,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1809,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1828,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1893,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV1949,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2259,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2388,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2425,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2614,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2686,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2784,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2788,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2809,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV2900,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3015,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3023,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3186,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3205,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3239,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3277,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3300,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3514,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3528,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3648,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3697,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3838,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV3932,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4121,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4128,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4138,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4166,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4208,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4374,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4512,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4538,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4592,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4607,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4628,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV4981,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV5093,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV5100,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV5502,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV5854,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV5883,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV5984,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV6005,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV6040,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV6261,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV6588,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV6882,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV6988,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV7102,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV7299,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV7578,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV7757,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Enophrys,Enophrys bison
ASV6632,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Gymnocanthus,Gymnocanthus tricuspis
ASV35,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV529,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV586,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV729,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV779,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV807,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV1038,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV1126,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV1152,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV1174,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV1253,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV1589,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV1668,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV2180,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV2236,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV2330,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV2666,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV2915,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3087,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3236,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3254,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3438,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3522,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3567,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3620,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3630,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3925,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV3943,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4068,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4076,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4161,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4300,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4390,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4442,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4463,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4554,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4698,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV4830,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV5044,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV5065,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV5097,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV5482,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV5500,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV5546,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV5893,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV6233,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV6454,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV6488,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV6669,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV6825,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV6915,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV6982,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7084,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7088,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7128,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7140,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7184,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7205,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7333,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7542,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV7958,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV8003,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV8021,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus
ASV98,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV548,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV2118,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV2487,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV5226,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV5858,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV5953,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV6779,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV7518,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV7655,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV7675,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV8121,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus
ASV1154,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Hemilepidotus,no identification
ASV101,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV354,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV358,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV1358,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV1911,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV2223,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV3258,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV3317,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV3829,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV3867,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV3938,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV4225,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV4832,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV6966,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV7402,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus borealis
ASV3557,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Icelinus,Icelinus filamentosus
ASV8,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV112,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV123,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV126,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV207,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV208,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV287,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV305,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV426,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV606,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV615,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV634,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
ASV637,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
